UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Juno,@juno4661,2021-08-15T14:38:47.000Z,"Juno
@juno4661
·
8월 15일","오늘 야식 예고)
2
1",,2,,1,['https://pbs.twimg.com/media/E81sym8VEAYg2n7?format=jpg&name=small'],https://twitter.com/juno4661/status/1426916285464547337
병아린씅,@ilove10125,2021-08-04T15:10:54.000Z,"병아린씅
@ilove10125
·
8월 5일","오늘 야식
1
3",,1,,3,['https://pbs.twimg.com/media/E79KqBIVcAI4Hed?format=jpg&name=small'],https://twitter.com/ilove10125/status/1422938097491222535
나는 쿠소가키,@IM_Kuso_Gaki,2021-08-08T13:56:35.000Z,"나는 쿠소가키
@IM_Kuso_Gaki
·
8월 8일","랑이 오늘 야식 치킨~~~~
2",,,,2,['https://pbs.twimg.com/media/E8RgAjdVIAAwOg_?format=jpg&name=small'],https://twitter.com/IM_Kuso_Gaki/status/1424368946703044610
파전,@ijji7_,2021-08-11T14:35:40.000Z,"파전
@ijji7_
·
8월 11일","오늘 야식은 곱창
8
15",,,8,15,"['https://pbs.twimg.com/media/E8hFspRVoAIBkJ9?format=png&name=360x360', 'https://pbs.twimg.com/media/E8hFs8rVUAQVjfx?format=png&name=360x360']",https://twitter.com/ijji7_/status/1425465949319094272
다기,@Bony_Dagi,2021-08-07T13:46:34.000Z,"다기
@Bony_Dagi
·
8월 7일","오늘 야식
1",😋,,,1,['https://pbs.twimg.com/media/E8MUH-XVkAcbdeR?format=jpg&name=small'],https://twitter.com/Bony_Dagi/status/1424004039759458313
화랑 오너.:｡✿*ﾟ¨ﾟ ✎ 아인 ･✿.｡.:*,@ainLnonvnen,2021-08-06T13:03:23.000Z,"화랑 오너.:｡✿*ﾟ¨ﾟ ✎ 아인 ･✿.｡.:*
@ainLnonvnen
·
8월 6일","오늘 야식먹으면서 밤샙니다아
7",,,,7,['https://pbs.twimg.com/media/E8HAnOZVIAcZujh?format=png&name=small'],https://twitter.com/ainLnonvnen/status/1423630784254992388
밤하늘염소자리,@Capricornus435,2021-08-06T17:03:55.000Z,"밤하늘염소자리
@Capricornus435
·
8월 7일","오늘 야식
1
5",,,1,5,['https://pbs.twimg.com/media/E8H3swrVIAU2c-7?format=jpg&name=small'],https://twitter.com/Capricornus435/status/1423691317746438144
밀치 ✧*｡٩(ˊωˋ*)و✧*｡,@Meal_CoCoa,2021-08-13T17:29:57.000Z,"밀치 ✧*｡٩(ˊωˋ*)و✧*｡
@Meal_CoCoa
·
8월 14일","해시브라운~~~!!! 오늘야식!!!
2",,,,2,['https://pbs.twimg.com/media/E8sAy7aVUAEPD_C?format=jpg&name=small'],https://twitter.com/Meal_CoCoa/status/1426234584555917316
진이,@JinLoclo,2021-08-15T10:01:40.000Z,"진이
@JinLoclo
·
8월 15일","치노님이 마싯다고 한거 너무 궁금해서 사봣다 오늘 야식할래
1
5",,1,,5,['https://pbs.twimg.com/media/E80tXB1VoAA2_i3?format=jpg&name=small'],https://twitter.com/JinLoclo/status/1426846545127776256
𝐁𝐮𝐧𝐧𝐲♡.,@_970218S2,2021-08-02T11:52:25.000Z,"𝐁𝐮𝐧𝐧𝐲♡.
@_970218S2
·
8월 2일","오늘 야식은 고추바사삭!!!!! 야식이라고 하기엔 조금 이르지만 다들 맛저 하시고 맛야식 하세요
2",,,,2,['https://pbs.twimg.com/media/E7yKC_eVgAU70fG?format=jpg&name=small'],https://twitter.com/_970218S2/status/1422163373815308298
고맹,@bonheur_nn,2021-08-01T15:31:23.000Z,"고맹
@bonheur_nn
·
8월 2일","오늘야식은 야곱
7",🍓 😍,,,7,['https://pbs.twimg.com/media/E7tylIXVUAM-8J5?format=jpg&name=small'],https://twitter.com/bonheur_nn/status/1421856092431151105
재껴,@meavwo,2021-08-08T14:07:32.000Z,"재껴
@meavwo
·
8월 8일","이거오늘야식
3
25",,,3,25,['https://pbs.twimg.com/media/E8Rig0_VIAIYiNF?format=jpg&name=small'],https://twitter.com/meavwo/status/1424371704034250759
miffy♡,@mxffykz,2021-08-13T15:07:29.000Z,"miffy♡
@mxffykz
·
8월 14일","오늘야식은...

너다。
2
5",,,2,5,['https://pbs.twimg.com/media/E8rgL4lVIAMqKgu?format=jpg&name=small'],https://twitter.com/mxffykz/status/1426198732450631682
메밀,@Memil404,2021-08-11T13:07:18.000Z,"메밀
@Memil404
·
8월 11일","#시마먹어줘 팬케이크
마트에서 식재료 쇼핑하던 시마. 요즘은 핫케이크 믹스도 나오네. 만드는 방법도 크게 어려워보이지 않고 마침 메이플 시럽도 덤으로 준대. 좋아. 오늘 야식은 팬케이크로 결정.
믹스 설명서에 적힌대로 핫케이크 가루에 계란 넣고, 우유 넣고... 덩어리 지지않게 잘 저어.
1
5
12",,1,5,12,['https://pbs.twimg.com/media/E8gwobFUYAUXb_Z?format=png&name=small'],https://twitter.com/Memil404/status/1425443711631040514
시즈,@sizthe_dayy,2021-08-06T11:19:18.000Z,"시즈
@sizthe_dayy
·
8월 6일","헐 오늘 마침 이모가 닭발해줌 ㅁ쳣다 오늘 야식 오예
1
2",,,1,2,[],https://twitter.com/sizthe_dayy/status/1423604590793007106
돌,@dolisdol,2021-08-05T12:55:43.000Z,"돌
@dolisdol
·
8월 5일","오늘 야식
내가 만든 감자전
냉동 훈제 연어
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
2",,,,2,[],https://twitter.com/dolisdol/status/1423266465734545412
말티쥬,@puppy_MHcoo,2021-08-08T15:06:21.000Z,"말티쥬
@puppy_MHcoo
·
8월 9일","오늘야식은 간단하게먹음…! 은 무슨..
이거 먹고 빵 두개 더 먹었으면서…ㅋㅋㅋ
방그 과자도 먹었….핳
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
2
1",🐳,2,,1,[],https://twitter.com/puppy_MHcoo/status/1424386505108193285
RoBin 팔괴64장 졸려,@Robinonion,2021-08-06T13:26:12.000Z,"RoBin 팔괴64장 졸려
@Robinonion
·
8월 6일","오늘 야식 : 신나리셔스 골드키위새
아 셔 죽겠네 피곤에 쩔어서 입안이 헐어서 아프당
2",🌽 🚸,,,2,['https://pbs.twimg.com/media/E8HF3gdVoAIVlPR?format=jpg&name=small'],https://twitter.com/Robinonion/status/1423636526081011720
zoo,@monsta_zoo,2021-08-10T14:20:04.000Z,"zoo
@monsta_zoo
·
8월 10일","오늘 야식메뉴
유기현
zoo
@monsta_zoo
 · 8월 10일
아시바 방금입가리는거뭐야존나잡아먹어
2",,,,2,"['https://pbs.twimg.com/media/E8b4kKrXoBMLiTj?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1437378597690347528/Ajpmnm0Z_mini.jpg']",https://twitter.com/monsta_zoo/status/1425099634859466772
신탁,@hc_150__,2021-08-04T05:29:04.000Z,"신탁
@hc_150__
·
8월 4일","에시디시의 눈에 오늘 야식으로 끓이려고 쟁여뒀던 불닭 소스 뿌리는 죠셉
1
4",,,1,4,[],https://twitter.com/hc_150__/status/1422791675374563331
Rush,@rush_over_me,2021-08-14T12:49:20.000Z,"Rush
@rush_over_me
·
8월 14일","오늘야식필요없다
✘
@T04D0
 · 8월 14일
노오력만 함
1
2",,,1,2,"['https://pbs.twimg.com/profile_images/1413024797924073474/tHrgfEnZ_mini.jpg', 'https://pbs.twimg.com/media/E8wHrMEVkAIY50A?format=jpg&name=small']",https://twitter.com/rush_over_me/status/1426526349787729925
파페,@pape_ow,2021-08-01T13:41:29.000Z,"파페
@pape_ow
·
8월 1일","핫바 오늘 야식 미슐랭으로 달라 해도 순순히 바쳐야함 진짜 혼자 4킬을 어케 하는데
5
10",,,5,10,[],https://twitter.com/pape_ow/status/1421828434871812098
INUNAKI SION,@MSBY_INU,2021-08-10T12:41:07.000Z,"INUNAKI SION
@MSBY_INU
·
8월 10일","오늘 야식은 치킨이랑 복숭아.
2
2",,2,,2,[],https://twitter.com/MSBY_INU/status/1425074730957086726
()이프리스(ifless)(),@HG_ifless_mHY,2021-08-15T14:11:56.000Z,"()이프리스(ifless)()
@HG_ifless_mHY
·
8월 15일","저 역키잡 사랑하는거 어케 아시고 이래요 오늘 야식은 이거다
심령
@Babyp1nk_
 · 8월 15일
https://spiritualism.postype.com/post/10548374
포타 업로드 드디어함 
와기여우줍줍한 존려 역키잡 탈종입니다...근데 쓰다보니 너무 길어져서... 담번에 또 쓸게요잇...
1
1
1",💧 🔶 🔄 ❌ 🐳 🐉 🔄 ❌,1,1,1,['https://pbs.twimg.com/profile_images/1430001099348484096/r2dWv3K9_mini.png'],https://twitter.com/HG_ifless_mHY/status/1426909527459262474
유정,@Queendom0801,2021-08-11T15:44:11.000Z,"유정
@Queendom0801
·
8월 12일","오늘 야식 팔도비빔면
3",,,,3,[],https://twitter.com/Queendom0801/status/1425483191238811651
비글,@beeag1e_,2021-08-07T11:35:47.000Z,"비글
@beeag1e_
·
8월 7일","오늘 야식은 배떡에 맥주 
2
1",💙,2,,1,[],https://twitter.com/beeag1e_/status/1423971127680929795
엄마는몬베베중,@jiminmomMX,2021-08-12T13:20:47.000Z,"엄마는몬베베중
@jiminmomMX
·
8월 12일","나 오늘 야식 먹어요..
(태어나서 야식 먹은 경험 별로 없는 사람)
  자. 격.의 스트레스를 핑계 삼아 
      일탈을 꿈꾸다..
5
16",🐶,5,,16,[],https://twitter.com/jiminmomMX/status/1425809489572229128
탕쑤,@kdfg32,2021-08-05T13:11:02.000Z,"탕쑤
@kdfg32
·
8월 5일","오늘 야식은 맥날 신메뉴 창녕갈릭버거
1
3",,1,,3,[],https://twitter.com/kdfg32/status/1423270321524670466
ⒸⓄⓄⓀⒾⒺ,@Kiki_Co__,2021-08-07T08:57:35.000Z,"ⒸⓄⓄⓀⒾⒺ
@Kiki_Co__
·
8월 7일","오늘 야식 불닭
4",,,,4,[],https://twitter.com/Kiki_Co__/status/1423931314546176003
왜몰리셔스,@dream_night19,2021-08-09T13:29:02.000Z,"왜몰리셔스
@dream_night19
·
8월 9일","오늘 야식 주솨시유
5",,,,5,[],https://twitter.com/dream_night19/status/1424724403921637379
메인트 확인 프로필,@profile_08_,2021-08-08T12:27:46.000Z,"메인트 확인 프로필
@profile_08_
·
8월 8일","오늘 야식은 피자입니다
3",‼ ‼,,,3,[],https://twitter.com/profile_08_/status/1424346597438103554
주물럭,@WAAC_WAAC,2021-08-02T16:39:04.000Z,"주물럭
@WAAC_WAAC
·
8월 3일","오늘 야식 오리주물럭이다
2",,,,2,[],https://twitter.com/WAAC_WAAC/status/1422235510609616899
마이,@mYmY__18_,2021-08-07T10:50:18.000Z,"마이
@mYmY__18_
·
8월 7일","퓨전 오늘 야식
닭꼬치
떡튀순
족발
피자
치킨
햄버거

다 시켜
3",,,,3,[],https://twitter.com/mYmY__18_/status/1423959681647616004
오헨,@ohen0809,2021-08-05T13:53:03.000Z,"오헨
@ohen0809
·
8월 5일","오늘 야식도 냉라면~~~
1
3",🌟 🌟,1,,3,[],https://twitter.com/ohen0809/status/1423280897256611850
ً 녹강틀어대출연장해,@Pus_06,2021-08-14T12:05:19.000Z,"ً 녹강틀어대출연장해
@Pus_06
·
8월 14일","채수 활용해서 오늘 야식은 라면
3",,,,3,[],https://twitter.com/Pus_06/status/1426515274027520000
팥 ◡̈⋆*,@redbean0323,2021-08-03T10:48:13.000Z,"팥 ◡̈⋆*
@redbean0323
·
8월 3일","비비큐 메이플갈릭치킨 드셔보신분?!
한번쯤은 먹어보고 싶어서 오늘 야식 도전할까 하는데...
4
2",,4,,2,[],https://twitter.com/redbean0323/status/1422509605041491973
때까치,@TTaCCachee,2021-08-15T12:33:57.000Z,"때까치
@TTaCCachee
·
8월 15일","오늘 야식은 피자헛 
5",💜 🍕,,,5,[],https://twitter.com/TTaCCachee/status/1426884867439038464
메인트알티《픽션팟캐홍보대사》도스 ଳ ᙅ⩬,@tados_907,2021-08-13T14:03:29.000Z,"메인트알티《픽션팟캐홍보대사》도스 ଳ ᙅ⩬
@tados_907
·
8월 13일","고민이 있어
오늘 야식으로 비빔면을 먹을까?
5",,,,5,[],https://twitter.com/tados_907/status/1426182622460334089
잇짱,@goqqos,2021-08-14T13:32:27.000Z,"잇짱
@goqqos
·
8월 14일","오늘 야식!
히힛 다 디져따!
3
4",,3,,4,['https://pbs.twimg.com/media/E8wUBkAVUAU6MTS?format=jpg&name=small'],https://twitter.com/goqqos/status/1426537204495437834
후마,@choko_huma,2021-08-15T14:40:43.000Z,"후마
@choko_huma
·
8월 15일","후마님 오늘 야식은 뿌링클이래
1
8",🤗,1,,8,[],https://twitter.com/choko_huma/status/1426916771076976643
故 토마스,@Imtomasya,2021-08-02T12:54:34.000Z,"故 토마스
@Imtomasya
·
8월 2일","오늘 야식 미역국이고요
2",,,,2,[],https://twitter.com/Imtomasya/status/1422179016019120129
