UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Quackity Protector.,@FANGQUACK,2021-08-30T07:24:14.000Z,"Quackity Protector.
@FANGQUACK
·
8월 30일","DROP THE BASS ON 
너넨 모두 랍스타 
빨갛게 익어가 
LOOK AT MY GESTURE 
MAKE BY FINGER TOE 
I AM A SCENE STEALER 
WHAT ABOUT NO KETCHUP 
난 매력적인 SPIDEY 
I TURN AROUND TURN AROUND 
SWIRL SWISH
0:16
152 조회수
Quackity Protector.
 님의
2
3",,2,,3,['https://pbs.twimg.com/ext_tw_video_thumb/1428881314552303617/pu/img/Uw6_tB88NUWpC1Dm.jpg'],https://twitter.com/FANGQUACK/status/1432242742051147776
KETCHUP,@swirl_swish,2021-08-30T15:48:18.000Z,"KETCHUP
@swirl_swish
·
8월 31일","오늘 너무 고맙구 수고했구 ~ 용가리 ㅎ!
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
7
12",🌱,,7,12,[],https://twitter.com/swirl_swish/status/1432369596594589697
KETCHUP,@swirl_swish,2021-08-30T15:53:31.000Z,"KETCHUP
@swirl_swish
·
8월 31일","어켕 낼 또 베이비펌 태용이봐
3",🌱,,,3,[],https://twitter.com/swirl_swish/status/1432370908325289984
KETCHUP,@swirl_swish,2021-08-30T15:50:17.000Z,"KETCHUP
@swirl_swish
·
8월 31일","[스우파] 제작발표회 하이라이트 l Part 1. 크루들의 무대 직관 소감?#스트릿우먼파이터 https://youtu.be/ZFItwv2OTFA - 
@YouTube
 
새영상 요미 댓글과 좋아용 해주세요
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
5
3",🌱 🥰 🥰 💚,,5,3,[],https://twitter.com/swirl_swish/status/1432370093787209733
Nail Heaven ♡,@purgatorynails,2021-08-30T18:12:11.000Z,"Nail Heaven ♡
@purgatorynails
·
8월 31일","Invisible Swirl
56
2.8천
3.4만",,56,2.8천,3.4만,['https://pbs.twimg.com/media/E-DteQIUcAEIVVt?format=jpg&name=small'],https://twitter.com/purgatorynails/status/1432405806863978499
,@luanaapez,2021-08-28T22:44:06.000Z,"@luanaapez
·
8월 29일","Caramel swirl
12
39
479",,12,39,479,"['https://pbs.twimg.com/media/E96Yip8X0AI9cZC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E96Yip7X0AoJfn5?format=jpg&name=360x360']",https://twitter.com/luanaapez/status/1431749458669314051
EMBRACE,@Freshyy_,2021-08-30T15:14:06.000Z,"EMBRACE
@Freshyy_
·
8월 31일","Swirl killer. This is what them car wash machine do to your Paint & this what I do to correct it
6
8",🐉,,6,8,"['https://pbs.twimg.com/media/E-DEt8bXoAIikwZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DEt8aXEAYj6Of?format=jpg&name=360x360']",https://twitter.com/Freshyy_/status/1432360988762939395
BWWM,@swirl_bwwm,2021-08-30T14:58:08.000Z,"BWWM
@swirl_bwwm
·
8월 30일","Rachael & Lucas  “My husband is my best friend, my greatest support, my biggest comfort, my strongest motivation, my truest smile, my deepest love, my favorite, my favorite forever....”  
#interracialcouple #interracilafamily #bwwm #truelove #interracialrelationship
2
8
71",,2,8,71,"['https://pbs.twimg.com/media/E-DA2O2VgAkH0B-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-DA2OIUUAsjOzc?format=jpg&name=360x360']",https://twitter.com/swirl_bwwm/status/1432356971559092235
Sweethearts 2 Swingers,@sweet2swing,2021-08-28T00:36:11.000Z,"Sweethearts 2 Swingers
@sweet2swing
·
8월 28일","Cheers! We are out with our swirl friends  Happy Friday you sexy motherfuckers! 
#TGIF
3
2
85",😊,3,2,85,['https://pbs.twimg.com/media/E91ol83XsAEHoY-?format=jpg&name=small'],https://twitter.com/sweet2swing/status/1431415278517334016
Beth's Glass House Sales,@GroenerA,2021-08-29T13:07:29.000Z,"Beth's Glass House Sales
@GroenerA
·
8월 29일","Excited to share the latest addition to my #etsy shop: Large Orange and Amber Swirl Pitcher with Applied Teal Handle https://etsy.me/3sU6u6N
13
16",,,13,16,['https://pbs.twimg.com/media/E99eKH0XsAA4ZSK?format=jpg&name=small'],https://twitter.com/GroenerA/status/1431966737440849920
MeechFromPallettown,@MeechFromPallet,2021-08-29T23:53:32.000Z,"MeechFromPallettown
@MeechFromPallet
·
8월 30일","Swirl gang 
8
2
71",🌀,8,2,71,['https://pbs.twimg.com/media/E9_yBgaX0AMq4gh?format=jpg&name=small'],https://twitter.com/MeechFromPallet/status/1432129319590146050
Becky Wood,@shadylady222,2021-08-28T20:17:03.000Z,"Becky Wood
@shadylady222
·
8월 29일","Tonight in Becky’s continuous exploration with cheesecake making - White chocolate and Biscoff swirl.
52",,,,52,['https://pbs.twimg.com/media/E9524kSWYAQriMu?format=jpg&name=small'],https://twitter.com/shadylady222/status/1431712452144730123
DEAN,@777DEAN777,2021-08-29T18:57:35.000Z,"DEAN
@777DEAN777
·
8월 30일","The Eye of the Storm 150mph inside bands swirl around the outside of the eye.. NOAA plane view....
ABC News
 님의
1
12
13",🔴 ⚪ 💙 🔴 ⚪ 💙,1,12,13,['https://pbs.twimg.com/amplify_video_thumb/1432036308399034368/img/4CFokjtfpst0KHFd.jpg'],https://twitter.com/777DEAN777/status/1432054843544375298
JON DEE (JonDee.com),@JonDeeOz,2021-08-30T01:28:28.000Z,"JON DEE (JonDee.com)
@JonDeeOz
·
8월 30일","Fire swirl happening in California today. Totes cool and normal right?

Watch the whole video 
0:41
28.6만 조회수
CAL FIRE
 님의
2
17
46",👇 👇,2,17,46,[],https://twitter.com/JonDeeOz/status/1432153212518162432
Crumbl Cookies,@CrumblCookies,2021-08-30T00:02:00.000Z,"Crumbl Cookies
@CrumblCookies
·
8월 30일","Fall has arrived with this fan favorite! 

 CARAMEL PUMPKIN
A soft pumpkin cookie topped with a caramel cream cheese frosting swirl and sprinkled with pumpkin pie spice.

Comment below if you're ready for fall flavors!
GIF
22
33
515",🍁 🎃,22,33,515,['https://pbs.twimg.com/tweet_video_thumb/E9_rLgpVgAATsfG.jpg'],https://twitter.com/CrumblCookies/status/1432131450921496578
New York Post,@nypost,2021-08-28T18:27:33.000Z,"New York Post
@nypost
·
8월 29일","Questions swirl about Bagram airbase withdrawal amid Kabul airport debacle https://trib.al/ucGgDXB
24
59
191",,24,59,191,['https://pbs.twimg.com/media/E95d02DWYAIWNR4?format=jpg&name=small'],https://twitter.com/nypost/status/1431684896020475904
Too Faced Cosmetics,@TooFaced,2021-08-29T16:32:52.000Z,"Too Faced Cosmetics
@TooFaced
·
8월 30일","JUST DROPPED: Cinnamon Swirl + Cinnamon Bun!!  Indulge in 18 cinnamon roll-scented, sweet & spicy shades so warm and toasty, it's positively cinn-ful!!  Top off your look with our Cinnamon Bun shade of our Melted Matte Lipstick! Shop here: https://bit.ly/2WAwEzB #toofaced
8
32
162",🍂 😍,8,32,162,['https://pbs.twimg.com/media/E9-NKlyXIAQ0qV2?format=jpg&name=small'],https://twitter.com/TooFaced/status/1432018422582419463
Nancy,@bonesfanancy,2021-08-28T02:26:35.000Z,"Nancy
@bonesfanancy
·
8월 28일","#California voters, just like TFG, Republican Larry Elder wants to bring his wrecking crew into #CA & dismantle everything.  

#VoteNoOntheRecall to keep Newsom!

Larry Elder's private charity was a bust, and questions swirl over where the money went
Larry Elder's private charity was a bust, and questions swirl over where the money went
Larry Elder touts private charity over government assistance. His own charity was a dud.
msn.com
3
15
18",,3,15,18,['https://pbs.twimg.com/card_img/1442164149761490945/e2E0S7jI?format=jpg&name=small'],https://twitter.com/bonesfanancy/status/1431443063797272576
Los Angeles Times,@latimes,2021-08-28T02:33:01.000Z,"Los Angeles Times
@latimes
·
8월 28일","Larry Elder's private charity was a bust, and questions swirl over where the money went
Larry Elder's private charity was a bust, and questions swirl over where the money went
Larry Elder touts private charity over government assistance. His own charity was a dud.
latimes.com
453
218
289",,453,218,289,['https://pbs.twimg.com/card_img/1441572978614231040/quyHJ-Oz?format=jpg&name=small'],https://twitter.com/latimes/status/1431444680114331652
Wandering Bard Toys,@BardToys,2021-08-27T19:10:18.000Z,"Wandering Bard Toys
@BardToys
·
8월 28일","Medium Dragon, Marbled Swirl or Purple Haze and Emerald
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
1
5
40",,1,5,40,[],https://twitter.com/BardToys/status/1431333267479748608
Omar Kelly,@OmarKelly,2021-08-30T18:37:45.000Z,"Omar Kelly
@OmarKelly
·
8월 31일","As Deshaun Watson rumors swirl, Dolphins coach Brian Flores says he wants players with ‘high character’
As Deshaun Watson rumors swirl, Dolphins coach Brian Flores says he wants players with ‘high...
While not specific to any Deshaun Watson trade rumors, Dolphins coach Brian Flores spoke Monday about his team's character standards. Plus, the Yahoo reporter that reignited the rumors clarifies...
sun-sentinel.com
47
19
261",,47,19,261,['https://pbs.twimg.com/card_img/1440036032171282438/iQGGWD6y?format=jpg&name=small'],https://twitter.com/OmarKelly/status/1432412241383591946
Trendmood,@Trendmood,2021-08-29T14:22:54.000Z,"Trendmood
@Trendmood
·
8월 29일","Available Now! LINK  https://bit.ly/3DBts7J online 
@ultabeauty
 NEW! 
@TooFaced
 
 The Cinnamon Swirl Sweet & Spicy Eye Shadow Palette $49
-Melted Matte Cinnamon Bun Liquid Lipstick $22 
+ #ComingSoon 
Lady Bold Cream Lipstick $24
+ Lady Bold Lip Liner $20
20
99",🚨 ➡ 🤎 🤍 💄,,20,99,"['https://pbs.twimg.com/media/E99va1gVIAE-AZf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E99va1iVcAAotH5?format=jpg&name=360x360']",https://twitter.com/Trendmood/status/1431985717157134341
Unapologetically Black,@LouisAl52122377,2021-08-29T17:33:58.000Z,"Unapologetically Black
@LouisAl52122377
·
8월 30일","All the black folks who swirl will let their partner get away with murder just to please them smh!
NoPauseTv
@NoPauseTv
 · 8월 26일
 Cake hard than a heaux
15
36
108",😭 😂,15,36,108,"['https://pbs.twimg.com/profile_images/1328802919496503302/IZW3ZoTr_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1430714097520291841/pu/img/XQVtHu1-J6rFi4_p.jpg']",https://twitter.com/LouisAl52122377/status/1432033801623023617
Harlow,@VirtualMoth,2021-08-27T00:40:36.000Z,"Harlow
@VirtualMoth
·
8월 27일","Some Irene studies/sketches w outfit suggestions from 
@linkerbm
 @curry_swirl
 @witch_warren
3
4
13",,3,4,13,['https://pbs.twimg.com/media/E9wf0YpWUAE9bfE?format=png&name=small'],https://twitter.com/VirtualMoth/status/1431054003027185669
David Furones,@DavidFurones_,2021-08-30T23:55:03.000Z,"David Furones
@DavidFurones_
·
8월 31일","From earlier: As Deshaun Watson rumors swirl, Dolphins coach Brian Flores says he wants players with high character.
As Deshaun Watson rumors swirl, Dolphins coach Brian Flores says he wants players with ‘high...
While not specific to any Deshaun Watson trade rumors, Dolphins coach Brian Flores spoke Monday about his team's character standards. Plus, the Yahoo reporter that reignited the rumors clarifies...
sun-sentinel.com
3
2
16",,3,2,16,['https://pbs.twimg.com/card_img/1440036032171282438/iQGGWD6y?format=jpg&name=small'],https://twitter.com/DavidFurones_/status/1432492089133178891
𝑠𝑘𝑦𝑤𝑎𝑡𝑐ℎ𝑒𝑟,@skywatcher_78,2021-08-27T01:35:36.000Z,"𝑠𝑘𝑦𝑤𝑎𝑡𝑐ℎ𝑒𝑟
@skywatcher_78
·
8월 27일","The impossibility
of impermanent people~
like trying in vain
to catch saffron fireflies
as they swirl and dance
on the warm summer
night's breeze.
12
19",,,12,19,[],https://twitter.com/skywatcher_78/status/1431067841458057216
kels ʚ♡ɞ,@kittench4n,2021-08-29T03:19:43.000Z,"kels ʚ♡ɞ
@kittench4n
·
8월 29일","loving to hear how much they moan for you but at the same time just wanting so badly to have their voice muffled by shoving your fingers deep in their mouth as they tear up and gag and look oh so desperate while you slowly swirl your fingers around feeling how hot it is inside <3
3
95
626",,3,95,626,[],https://twitter.com/kittench4n/status/1431818819853504513
"Vaccine Shaw, Esq.",@holadamilola,2021-08-28T19:50:36.000Z,"Vaccine Shaw, Esq.
@holadamilola
·
8월 29일","Something about Stanley Tucci tells me he LOVES women. Him and Geoffrey Zakarian give very much swirl the wine and show you their fave paintings energy
다음 미디어는 민감한 콘텐츠를 포함할 수 있습니다. 설정 변경
보기
2
12
99",,2,12,99,[],https://twitter.com/holadamilola/status/1431705799206768640
Marc,@marc2sn3s,2021-08-29T02:27:57.000Z,"Marc
@marc2sn3s
·
8월 29일","One time at a wine tasting in Madrid, the dude serving us told us to swirl the glasses, and when I did he said “ok, but not like a pervert”. Never have I hated and laughed and loved so hard simultaneously.
2
1
33",,2,1,33,[],https://twitter.com/marc2sn3s/status/1431805793481859077
