UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
bumsoo랑해요 이낙연!,@bumsooC,2021-08-15T07:18:49.000Z,"bumsoo랑해요 이낙연!
@bumsooC
·
8월 15일","2박 3일간 전남, 광주, 전북에서 인사드리고 다시 서울로 올라가시는 여니!
12
529
855",,12,529,855,"['https://pbs.twimg.com/media/E80IDhIUYAoLtXp?format=jpg&name=small', 'https://pbs.twimg.com/media/E80IFIpVcAI0b6W?format=jpg&name=small', 'https://pbs.twimg.com/media/E80IESpUUAEOUA6?format=jpg&name=small', 'https://pbs.twimg.com/media/E80IF1DVkAI5HYU?format=jpg&name=small']",https://twitter.com/bumsooC/status/1426805563787120648
아침 일곱시(번타자 이낙연의 역전만루홈런),@seven_0clock,2021-08-14T01:09:41.000Z,"아침 일곱시(번타자 이낙연의 역전만루홈런)
@seven_0clock
·
8월 14일","우리 여니님 홍보짤 중에 저짝이 이거를 자꾸 딴지 걸더라고. 부러웠나봐 많이 멋있긴 하지. 좋은 건 또 올려야지
5
343
348",🎵,5,343,348,['https://pbs.twimg.com/media/E8tpQHpVEAcQyDC?format=jpg&name=900x900'],https://twitter.com/seven_0clock/status/1426350278312218626
sora,@happy_CSR_,2021-08-14T05:21:34.000Z,"sora
@happy_CSR_
·
8월 14일","딸아이 장학금 받아서.
딸아이 ******에 선발돼서.
우리 여니 오늘도 힘내세요!
6
131
273",,6,131,273,"['https://pbs.twimg.com/media/E8ujqo_VkAEwnZK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8ujq1lVcAUVxpA?format=jpg&name=360x360']",https://twitter.com/happy_CSR_/status/1426413665520013314
김숙희 여니숙희,@yeonisukki,2021-08-14T09:36:45.000Z,"김숙희 여니숙희
@yeonisukki
·
8월 14일","숙희씨의 일기장 #11 ""나""는 어디에?

파도처럼 밀려오는 삶의 무게에 점점 지쳐가는 숙희
숙희는 자신을 위한 결단을 내렸는데...!!

과연 숙희의 선택은~?
다음 화에 공개됩니다

자세한 내용은 여니숙희 블로그에서 확인하세요!! 
https://blog.naver.com/yeonisukki/222470061459…
5
293
468",💙 💙 😢 💙 👇 👇,5,293,468,['https://pbs.twimg.com/media/E8veCKKUcAookGr?format=jpg&name=small'],https://twitter.com/yeonisukki/status/1426477885171277825
말랑이,@malang_juyeon,2021-08-15T11:12:20.000Z,"말랑이
@malang_juyeon
·
8월 15일","주여니랑 눈싸움 #주연 #더보이즈
460
488",,,460,488,['https://pbs.twimg.com/ext_tw_video_thumb/1426864264132718597/pu/img/rVBc3Yw-h4cE84Gc.jpg'],https://twitter.com/malang_juyeon/status/1426864330587348992
여니SOMEDAY,@someday0912,2021-08-14T04:45:49.000Z,"여니SOMEDAY
@someday0912
·
8월 14일","여러분! 우리 여니 정책 많이 봐주고, 좋아요 눌러줘야 1등으로 완판되는거 아시죠~
#내삶을지켜주는나라_이낙연
https://youtu.be/qMtfGxmUYgg
1
20
23",💙 💙,1,20,23,['https://pbs.twimg.com/media/E8ubel5UUAUIb80?format=jpg&name=small'],https://twitter.com/someday0912/status/1426404668977029125
콩순이,@_kongsun_1124,2021-08-14T09:28:44.000Z,"콩순이
@_kongsun_1124
·
8월 14일","흐아아
주여니 또 무대하기 전에 춤출때 쓸 근육 부분 운동 하고 무대 올라갔을 거 아니야
나 지금 또 흥분해, 이 남성이 좋다
31",,,,31,['https://pbs.twimg.com/media/E8vcPcRVkAUaX8B?format=jpg&name=360x360'],https://twitter.com/_kongsun_1124/status/1426475868818345988
아차차,@Achacha_85,2021-08-14T14:48:09.000Z,"아차차
@Achacha_85
·
8월 14일","우와 X 
나야~!!

실험이 신기한 도여니

#장도연
0:53
396 조회수
15
21",🐰 ♾ 🐰,,15,21,[],https://twitter.com/Achacha_85/status/1426556254588006402
귨,@gyulisa_9,2021-08-13T14:51:26.000Z,"귨
@gyulisa_9
·
8월 13일","트위터 알림 더여니
13
17",,,13,17,"['https://pbs.twimg.com/media/E8rcgr6VUAUxPEt?format=jpg&name=small', 'https://pbs.twimg.com/media/E8rcg6pUcAsjWkL?format=jpg&name=240x240']",https://twitter.com/gyulisa_9/status/1426194692689985550
chacha 독립ᆞ호국ᆞ민주정부 4기 이낙연,@iionedream,2021-08-14T23:01:17.000Z,"chacha 독립ᆞ호국ᆞ민주정부 4기 이낙연
@iionedream
·
8월 15일","20년만에 만나는 친구
경선인단 영업 겸 얼굴도 볼겸 해서
보성 왔어요^^
좀있다가 송승헌ᆞ손예진 여름향기
촬영지도 가볼 예정(예전에 한번 다녀왔던...) 송승헌님은 우리 여니랑도 인연이ㅎㅎ그리고 화순에서 보성으로 들어오는 길이 예뻐서 지루하지 않게 왔네요^^여니님 도지사 시절 작품이겠죠?
6
9",,,6,9,"['https://pbs.twimg.com/media/E8yWLv_VkAEgGoP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8yWNC6VUAUUu_x?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8yWMVQVEAEqyql?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8yWNq0VEAMRhmU?format=jpg&name=360x360']",https://twitter.com/iionedream/status/1426680352492310529
악어,@luvyouryouths2,2021-08-14T16:46:35.000Z,"악어
@luvyouryouths2
·
8월 15일","우리 승여니 끝인사 할 때마다 뵤뵤거리면서 다가와요
42
63",,,42,63,"['https://pbs.twimg.com/media/E8xAdHoVEAEXhDq?format=jpg&name=small', 'https://pbs.twimg.com/media/E8xAda5VIAc7Wkg?format=jpg&name=small']",https://twitter.com/luvyouryouths2/status/1426586058624364545
기억해(랑해요 이낙연),@dareto_tell_oo,2021-08-15T06:42:29.000Z,"기억해(랑해요 이낙연)
@dareto_tell_oo
·
8월 15일","우리 여니 공약 중에서
젠더 임금 격차 줄여주겠다는 공약을
트찔이들이 봐야 하는데
24
25",🌱,,24,25,['https://pbs.twimg.com/media/E8z_xmYVEAUUgSH?format=jpg&name=900x900'],https://twitter.com/dareto_tell_oo/status/1426796419080282116
금문덕2,@GLADTOSEEUGUYS,2021-08-15T10:46:48.000Z,"금문덕2
@GLADTOSEEUGUYS
·
8월 15일","여니와 수키 여사님 수어로 인사하시는거래 
4
5",😍,,4,5,"['https://pbs.twimg.com/media/E803snyVoAIJlBQ?format=jpg&name=small', 'https://pbs.twimg.com/media/E803s8PVEAEv7kV?format=jpg&name=small']",https://twitter.com/GLADTOSEEUGUYS/status/1426857905198755846
바닌,@lovemedontya,2021-08-14T07:17:57.000Z,"바닌
@lovemedontya
·
8월 14일"," 더 해줘 칭찬ㅎㅎ
 강요하지 마 칭찬을
 아 가끔 칭찬 좀 받자
 ...넌 안 하긴 해 그래 미안 안 해서 미안하다 (어후) 게여니 잘한다~ 잘한다~
#배둥 하쉴분
1
21
31",🥔 🦊 🥔 💦 🦊,1,21,31,['https://pbs.twimg.com/ext_tw_video_thumb/1426442884589395968/pu/img/LgsV32eHLCt6Ruu2.jpg'],https://twitter.com/lovemedontya/status/1426442956056129537
오소리(΄◞ิ౪◟ิ‵)우스,@moonpaosorino1,2021-08-15T11:35:30.000Z,"오소리(΄◞ิ౪◟ิ‵)우스
@moonpaosorino1
·
8월 15일","이명박이 울 여니님한테 전화해서
꽁냥꽁냥 해가지고 4대강 예산 통과시켜줬다고? 또 찢빠들이 말도 안되는 헛소리를 퍼나르는지!

자 이게 팩트야 
이명박이 전화했고 
여니님은 모르는 번호로 왠 여자가 전화가 와서 대통령 바꿔준다기에 깜놀했다 끝. 꽁냥꽁냥 없지?
여니님 이명박 싫어하거든!
오소리(΄◞ิ౪◟ิ‵)우스
@moonpaosorino1
 · 8월 13일
2:09
긴급!
민주당 당론으로 4대강 반대했지만
당시 울 여니님은 4대강 예산안을 이명박 정부안대로 통과시켜줘서 한나라당의  존경과 사랑을 받았다며 찢빠들이 조리돌리는 중이네요 
 
야! 우리 여니님도 이명박한테 사기당한 거거든? 당시 사기 안당한 사람있어? 
사소한 4대강문제로 부들부들  깔껄까라
7
36
17",,7,36,17,"['https://pbs.twimg.com/media/E81C2EkVEAAZ11w?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E81C2EjVkAUyKDU?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1358717898647195650/WUfYyhFW_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1426107811616882696/pu/img/4Pb_uHMgmgKF52Pg?format=jpg&name=240x240']",https://twitter.com/moonpaosorino1/status/1426870158165831693
파란빛𝐖𝐎𝐎𝐃𝐙 | 𝐎𝐍𝐋𝐘 𝐋𝐎𝐕𝐄𝐑𝐒 𝐋𝐄𝐅𝐓,@angelicyoun96,2021-08-15T02:43:04.000Z,"파란빛𝐖𝐎𝐎𝐃𝐙 | 𝐎𝐍𝐋𝐘 𝐋𝐎𝐕𝐄𝐑𝐒 𝐋𝐄𝐅𝐓
@angelicyoun96
·
8월 15일","벌써 우리 사랑스러운 승여니 보고 싶은데ㅠㅠ

#WOODZ #우즈 #CHOSEUNGYOUN #조승연
7
25",💙,,7,25,"['https://pbs.twimg.com/media/E8zI9g3VoAEwRj-?format=jpg&name=small', 'https://pbs.twimg.com/media/E8zI9g3VUAEOmN4?format=jpg&name=small', 'https://pbs.twimg.com/media/E8zI9hYVkAQbm7e?format=jpg&name=small', 'https://pbs.twimg.com/media/E8zI9g2UcAEcWx_?format=jpg&name=small']",https://twitter.com/angelicyoun96/status/1426736169216135175
갓탱구,@godtaengoo39,2021-08-14T13:05:21.000Z,"갓탱구
@godtaengoo39
·
8월 14일","태여니 없다~ 태여니 있다~ 
31
54",💜,,31,54,['https://pbs.twimg.com/ext_tw_video_thumb/1426530352768503816/pu/img/MuMG3qp2qyVfQOLz.jpg'],https://twitter.com/godtaengoo39/status/1426530383072428038
파랑,@myfavoriteYJ,2021-08-15T07:23:48.000Z,"파랑
@myfavoriteYJ
·
8월 15일","영재가 계속 전화로 주여니형 주여니형 부르네
0:08
152 조회수
7
10",,,7,10,[],https://twitter.com/myfavoriteYJ/status/1426806815862378501
선,@115kitten,2021-08-15T14:29:47.000Z,"선
@115kitten
·
8월 15일","주여니
6
87",😍,,6,87,"['https://pbs.twimg.com/media/E81quwLUcAkbQIm?format=jpg&name=small', 'https://pbs.twimg.com/media/E81quxGUcAgIRXs?format=jpg&name=360x360']",https://twitter.com/115kitten/status/1426914016648056841
악어,@luvyouryouths2,2021-08-14T16:39:28.000Z,"악어
@luvyouryouths2
·
8월 15일","210815 조승연 IG STORY

승여니 노래 다 띵곡이래
진짜요? 감사합니다 (쿄)

#WOODZ #조승연 #우즈
95
113",,,95,113,['https://pbs.twimg.com/ext_tw_video_thumb/1426584193266450436/pu/img/ZWr5E98P-Al5BYe_.jpg'],https://twitter.com/luvyouryouths2/status/1426584265618169862
