UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
,@94fos,2021-08-02T23:55:46.000Z,"@94fos
·
Aug 2","하늘카페 
6
427",🌿 ☁,,6,427,['https://pbs.twimg.com/media/E70vm9mVgAEG7D6?format=jpg&name=small'],https://twitter.com/94fos/status/1422345409804914689
akazzang,@dazzeomuk,2021-08-06T07:53:32.000Z,"akazzang
@dazzeomuk
·
Aug 6","냥냥라차, 이 카페는 완전 하늘이에요!! 초카와이한 고양이들로 가득한 카페… 정말 귯。~  집사의 마음으로 커피 한 잔의 여유 즐기고 왔습니다… 특전이 너무 기엽코여 카페 곳곳에 있는 소품들도 너무귀여워서입에넣을뻔함 -.ㅜ 좋은 시간 보내다 갑니㈐ .• 

 #냥냥라차_너네받게없다
61
19",🐈 ☁ ☕ ♥,,61,19,"['https://pbs.twimg.com/media/E8F5ua8VkAA729z?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8F5udYVEAAaPVl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8F5ua8VgAAWdoF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8F5udXVUAAwq5a?format=jpg&name=360x360']",https://twitter.com/dazzeomuk/status/1423552808343638018
송,@wsowh,2021-08-07T08:54:11.000Z,"송
@wsowh
·
Aug 7","#냥냥라차_너네받게없다

냥냥라차카페는 하늘이에요* ੈ✩‧₊˚♡
3",,,,3,"['https://pbs.twimg.com/media/E8LRMlaUYAAD8OY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LRMlcVkAIvE_n?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8LRMlbUUAQey4A?format=jpg&name=360x360']",https://twitter.com/wsowh/status/1423930458736189448
머스마,@Skim_ajtmakZ,2021-08-08T10:30:16.000Z,"머스마
@Skim_ajtmakZ
·
Aug 8","#냥냥라차_너네받게없다 
세계 고양이 날에 가지는 못했지만 그래도 냥냥라차 카페 가서 음료수도 마시고 좋았어요! 특전도 예뻤구요 중간에 제가 움직이다가 주름이 귀가 쪼끔 뽀각했지만 아몬드 쿠키도 맛있게 잘 먹었습니다! 이 카페는 진심 하늘이에요
3",☁ 💙,,,3,"['https://pbs.twimg.com/media/E8Qwve8UUAU3G6H?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8QwxH5VgAAecQd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8QwwL5VgAE-cdj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8Qwx_kUcAQGB-V?format=jpg&name=360x360']",https://twitter.com/Skim_ajtmakZ/status/1424317029054513154
rollingpumpkin,@rollingpumpkin1,2021-08-18T07:45:25.000Z,"rollingpumpkin
@rollingpumpkin1
·
Aug 18","동대문 원단 시장 가는 길에 파란 하늘.
이런 날은 시야 좋은 카페에 앉아 있어야 하지만 현실은 동대문 원단 시장 백바퀴 뺑뺑 하늘만큼 예쁜 원단 주문하고 돌아갈께요
33",💙 🤣 🤣 😉,,,33,['https://pbs.twimg.com/media/E9Dq7ygVoAINrlr?format=jpg&name=small'],https://twitter.com/rollingpumpkin1/status/1427899420213870598
태정태세문덕펼,@fan_bgsmsyl,2021-08-18T13:18:18.000Z,"태정태세문덕펼
@fan_bgsmsyl
·
Aug 18","210818 카페오가다 방문후기 타래 :)
#이승윤_서른세번째돌_축하해
#cocoball_rock_festival
가는길에 하늘이 예뻐서 찍었는데, 카페에 도착하니 하늘을 닮은 승윤의 눈빛이 저를 반기더라구요 사장님 친절하시고 승윤 음악도 틀어주시고. 실외에도 테이블이 있어서 잠시 앉아있기에도 좋았습니다.
1
9
59",💙,1,9,59,"['https://pbs.twimg.com/media/E9E3FwvVkA4C0BU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9E3HkmUUAEhl5f?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9E3Gl5VkAQeVtB?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9E3IxOUcAMV1NK?format=jpg&name=360x360']",https://twitter.com/fan_bgsmsyl/status/1427983194867978243
캬마귀,@Kyamagwi,2021-08-07T02:58:56.000Z,"캬마귀
@Kyamagwi
·
Aug 6","하늘이랑 카페 넘모 이뿌당
2
3",,2,,3,"['https://pbs.twimg.com/media/E8J_3D1UcBAvWWv?format=jpg&name=small', 'https://pbs.twimg.com/media/E8J_3qlVgAUkUS0?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8J_4vBVkAACf9A?format=jpg&name=360x360']",https://twitter.com/Kyamagwi/status/1423841056169238536
말콩,@markong_jiah,2021-08-05T03:10:51.000Z,"말콩
@markong_jiah
·
Aug 4","8월의 하늘보다 더 푸르른 
지아야 생일축하해

짱지아로 가득찬 예쁜 카페 열어주셔서 감사합니다 

#지아를_만난_8월의_여름 
#해피지아데이
The following media includes potentially sensitive content. Change settings
View
32
89",💙 🌊 ♥,,32,89,[],https://twitter.com/markong_jiah/status/1423119279159799816
호양이 반동결,@iatsvs,2021-08-22T07:01:06.000Z,"호양이 반동결
@iatsvs
·
Aug 22","학교 바로건너편에 카페하늘 찍은거.. 개입뻐
1",🐯 ❄,,,1,['https://pbs.twimg.com/media/E9YHKxjVoAEDdd1?format=jpg&name=small'],https://twitter.com/iatsvs/status/1429337819420323845
라보라,@jaxtyna9981,2021-08-11T10:58:34.000Z,"라보라
@jaxtyna9981
·
Aug 11","#신천지예수교회 #신천지 #모태신앙
#교리탐정 #하늘샘물
하늘샘물 33호 [간증] 교리 탐정 후 신천지를 인정하다 (출처 : 진짜바로알자 신천지 | 네이버 카페) 
http://naver.me/xfa9jpLh
출처:하늘샘물
3
4",,,3,4,['https://pbs.twimg.com/media/E8gUCQ-VUAEGnjS?format=jpg&name=900x900'],https://twitter.com/jaxtyna9981/status/1425411313237327876
de joie,@dajoa4,2021-08-05T04:26:13.000Z,"de joie
@dajoa4
·
Aug 4","하늘에 이보를 띄워보세요•••

쪼꼼 허접하지만..오늘 합정 부근
카페에 두고올 예정입니다 
친구들껀 말하면 빼놓을게요!!
The following media includes potentially sensitive content. Change settings
View
5
22",☁ 💚 〰 〰,,5,22,[],https://twitter.com/dajoa4/status/1423138249283801088
